name,category,latitude,longitude,description
Roka Charlotte Street,Restaurants,51.5194,-0.1354,"£££ · Japanese. Rated 4.6/5. 37 Charlotte St, London W1T 1RR"
Nobu London,Restaurants,51.5065,-0.1503,"££££ · Japanese. Rated 4.5/5. 19 Old Park Ln, London W1K 1LB"
Zuma London,Restaurants,51.5013,-0.1608,"££££ · Japanese. Rated 4.6/5. 5 Raphael St, London SW7 1DL"
Barrafina Adelaide Street,Restaurants,51.5091,-0.1258,"£££ · Spanish Tapas. Rated 4.6/5. 10 Adelaide St, London WC2N 4HZ"
Poppies Fish & Chips Spitalfields,Restaurants,51.5202,-0.0733,"££ · Fish And Chips. Rated 4.5/5. 6-8 Hanbury St, London E1 6QR"
The Golden Chippy,Restaurants,51.5133,-0.1318,"£ · Fish And Chips. Rated 4.4/5. 62 Old Compton St, London W1D 4UN"
Homeslice Neal's Yard,Restaurants,51.5142,-0.1265,"££ · Pizza. Rated 4.5/5. 13 Neal's Yard, London WC2H 9DP"
Franco Manca Chiswick,Restaurants,51.4938,-0.2611,"£ · Pizza. Rated 4.5/5. 144 Chiswick High Rd, London W4 1PU"
Pastaio,Restaurants,51.5131,-0.1394,"££ · Italian Pasta. Rated 4.5/5. 19 Ganton St, London W1F 9BN"
Lina Stores Soho,Restaurants,51.5124,-0.1362,"££ · Italian Deli. Rated 4.6/5. 18 Brewer St, London W1F 0SH"
Bocca di Lupo,Restaurants,51.5113,-0.135,"£££ · Italian. Rated 4.6/5. 12 Archer St, London W1D 7BB"
Polpo Soho,Restaurants,51.5128,-0.1391,"££ · Italian Venetian. Rated 4.4/5. 41 Beak St, London W1F 9SB"
Padella Shoreditch,Restaurants,51.5259,-0.0821,"££ · Italian. Rated 4.5/5. Unit 3, 46 Great Eastern St, London EC2A 3EP"
Song Que Café,Restaurants,51.53,-0.0765,"££ · Vietnamese. Rated 4.5/5. 134 Kingsland Rd, London E2 8DY"
Mien Tay,Restaurants,51.5297,-0.0765,"££ · Vietnamese. Rated 4.5/5. 122 Kingsland Rd, London E2 8DP"
Tayyabs,Restaurants,51.5163,-0.0651,"££ · Pakistani. Rated 4.4/5. 83-89 Fieldgate St, London E1 1JU"
Needoo Grill,Restaurants,51.5171,-0.0631,"££ · Pakistani. Rated 4.4/5. 87 New Rd, London E1 1HH"
Lahore Kebab House,Restaurants,51.5147,-0.0637,"££ · Pakistani. Rated 4.4/5. 2-10 Umberston St, London E1 1PY"
Gunpowder,Restaurants,51.5178,-0.0738,"££ · Indian. Rated 4.6/5. 11 White's Row, London E1 7NF"
Dishoom King's Cross,Restaurants,51.535,-0.1259,"££ · Indian. Rated 4.6/5. 5 Stable St, London N1C 4AB"
Franco's Restaurant,Restaurants,51.5089,-0.1382,"£££ · Italian. Rated 4.5/5. 61 Jermyn St, London SW1Y 6LX"
Quo Vadis,Restaurants,51.5133,-0.1319,"£££ · British. Rated 4.5/5. 26-29 Dean St, London W1D 3LL"
The Delaunay,Restaurants,51.5127,-0.1173,"£££ · European. Rated 4.5/5. 55 Aldwych, London WC2B 4BB"
Brasserie Zédel,Restaurants,51.5108,-0.1358,"££ · French. Rated 4.5/5. 20 Sherwood St, London W1F 7ED"
Le Gavroche,Restaurants,51.5121,-0.1552,"££££ · French. Rated 4.7/5. 43 Upper Brook St, London W1K 7QR"
Cafe Murano,Restaurants,51.5069,-0.1401,"£££ · Italian. Rated 4.5/5. 33 St James's St, London SW1A 1HD"
Ottolenghi Islington,Restaurants,51.5449,-0.1029,"££ · Mediterranean. Rated 4.5/5. 287 Upper St, London N1 2TZ"
The Barbary,Restaurants,51.5142,-0.1265,"££ · North African. Rated 4.6/5. 16 Neal's Yard, London WC2H 9DP"
Morito Hackney Road,Restaurants,51.5296,-0.07,"££ · Spanish Tapas. Rated 4.5/5. 195 Hackney Rd, London E2 8JL"
Moro,Restaurants,51.5251,-0.11,"£££ · Spanish Moroccan. Rated 4.6/5. 34-36 Exmouth Market, London EC1R 4QE"
Chin Chin Labs,Restaurants,51.5417,-0.1461,"£ · Ice Cream. Rated 4.4/5. 49-50 Camden Lock Pl, London NW1 8AF"
Poppies Camden,Restaurants,51.5411,-0.1436,"££ · Fish And Chips. Rated 4.4/5. 30 Hawley Cres, London NW1 8NP"
The Clove Club,Restaurants,51.5265,-0.0803,"££££ · British. Rated 4.6/5. Shoreditch Town Hall, 380 Old St, London EC1V 9LT"
Smoking Goat,Restaurants,51.5238,-0.0763,"££ · Thai. Rated 4.5/5. 64-65 Shoreditch High St, London E1 6JJ"
Som Saa,Restaurants,51.5169,-0.0738,"££ · Thai. Rated 4.5/5. 43a Commercial St, London E1 6BD"
Sticks'n'Sushi Covent Garden,Restaurants,51.5115,-0.1237,"£££ · Japanese. Rated 4.5/5. 11 Henrietta St, London WC2E 8PS"
Bubbledogs / Kitchen Table,Restaurants,51.5199,-0.1358,"£££ · Modern European. Rated 4.5/5. 70 Charlotte St, London W1T 4QG"
The Palomar Bar Snacks,Restaurants,51.5117,-0.1349,"££ · Middle Eastern. Rated 4.5/5. 34 Rupert St, London W1D 6DN"
Ciao Bella,Restaurants,51.5223,-0.1176,"££ · Italian. Rated 4.5/5. 86-90 Lamb's Conduit St, London WC1N 3LZ"
Andina Shoreditch,Restaurants,51.5244,-0.0782,"££ · Peruvian. Rated 4.5/5. 1 Redchurch St, London E2 7DJ"
Ceviche Soho,Restaurants,51.5138,-0.1319,"££ · Peruvian. Rated 4.5/5. 17 Frith St, London W1D 4RG"
Casita Andina,Restaurants,51.5111,-0.1351,"££ · Peruvian. Rated 4.4/5. 31 Great Windmill St, London W1D 7LP"
Rovi,Restaurants,51.5183,-0.1412,"£££ · Vegetable-Forward. Rated 4.5/5. 59 Wells St, London W1A 3AE"
Nopi,Restaurants,51.5119,-0.1391,"£££ · Mediterranean. Rated 4.5/5. 21-22 Warwick St, London W1B 5NE"
Kricket Soho,Restaurants,51.5106,-0.1358,"££ · Indian. Rated 4.5/5. 12 Denman St, London W1D 7HH"
Bao Fitzrovia,Restaurants,51.5187,-0.1357,"££ · Taiwanese. Rated 4.5/5. 31 Windmill St, London W1T 2JN"
Wright Brothers Borough Market,Restaurants,51.506,-0.091,"£££ · Seafood. Rated 4.5/5. 11 Stoney St, London SE1 9AD"
Elliot's Café,Restaurants,51.5058,-0.0908,"££ · British Seasonal. Rated 4.5/5. 12 Stoney St, London SE1 9AD"
José Tapas Bar,Restaurants,51.4996,-0.0824,"£££ · Spanish Tapas. Rated 4.6/5. 104 Bermondsey St, London SE1 3UB"
Pizarro,Restaurants,51.498,-0.0817,"£££ · Spanish. Rated 4.5/5. 194 Bermondsey St, London SE1 3TQ"
Franklins,Restaurants,51.4515,-0.0765,"£££ · British. Rated 4.5/5. 157 Lordship Ln, London SE22 8HX"
The Begging Bowl,Restaurants,51.4673,-0.0672,"££ · Thai. Rated 4.5/5. 168 Bellenden Rd, London SE15 4BW"
Artusi,Restaurants,51.4674,-0.0674,"£££ · Italian. Rated 4.5/5. 161 Bellenden Rd, London SE15 4DH"
Levan,Restaurants,51.4728,-0.0656,"£££ · Modern European. Rated 4.6/5. 1 Peckham Hill St, London SE15 5DZ"
Silk Road,Restaurants,51.4735,-0.09,"£ · Chinese Xinjiang. Rated 4.4/5. 49 Camberwell Church St, London SE5 8TR"
Persepolis,Restaurants,51.4737,-0.0685,"£ · Persian. Rated 4.6/5. 28-30 Peckham High St, London SE15 5DT"
Mangal 2,Restaurants,51.5528,-0.076,"££ · Turkish. Rated 4.5/5. 4 Stoke Newington Rd, London N16 8BH"
19 Numara Bos Cirrik,Restaurants,51.5544,-0.0756,"££ · Turkish. Rated 4.5/5. 34 Stoke Newington Rd, London N16 7XJ"
Yasar Halim,Restaurants,51.6106,-0.1088,"£ · Turkish. Rated 4.5/5. 493-495 Green Ln, London N13 4BS"
The Laughing Heart,Restaurants,51.5307,-0.0654,"£££ · Natural Wine Bistro. Rated 4.6/5. 277 Hackney Rd, London E2 8NA"
P. Franco,Restaurants,51.5546,-0.053,"£££ · Natural Wine Small Plates. Rated 4.5/5. 107 Lower Clapton Rd, London E5 0NP"
Bistrotheque,Restaurants,51.533,-0.045,"£££ · French. Rated 4.4/5. 23-27 Wadeson St, London E2 9DR"
Rochelle Canteen,Restaurants,51.5258,-0.0778,"£££ · British. Rated 4.6/5. Arnold Circus, London E2 7ES"
Cafe Cecilia,Restaurants,51.5391,-0.056,"£££ · British. Rated 4.6/5. 32 Andrews Rd, London E8 4QP"
Sager + Wilde Restaurant,Restaurants,51.5306,-0.0517,"£££ · Modern European. Rated 4.5/5. 250 Paradise Row, London E2 9LE"
E5 Bakehouse,Restaurants,51.539,-0.0432,"££ · Bakery Cafe. Rated 4.5/5. 395 Mentmore Terrace, London E8 3PH"
The Marksman,Restaurants,51.5304,-0.0657,"£££ · British Gastropub. Rated 4.6/5. 254 Hackney Rd, London E2 7SJ"
Salt Yard,Restaurants,51.5197,-0.1352,"£££ · Spanish Italian Tapas. Rated 4.5/5. 54 Goodge St, London W1T 4NA"
Opera Tavern,Restaurants,51.5125,-0.1201,"£££ · Spanish Italian Tapas. Rated 4.5/5. 23 Catherine St, London WC2B 5JS"
Dehesa,Restaurants,51.5131,-0.1392,"£££ · Spanish Italian Tapas. Rated 4.4/5. 25 Ganton St, London W1F 9BP"
Bao Borough,Restaurants,51.5054,-0.0906,"££ · Taiwanese. Rated 4.5/5. 6 Bedale St, London SE1 9AL"
Flor,Restaurants,51.5052,-0.0906,"£££ · Bakery Italian. Rated 4.6/5. 5 Bedale St, London SE1 9AL"
A. Wong,Restaurants,51.493,-0.1442,"££££ · Chinese. Rated 4.7/5. 70 Wilton Rd, London SW1V 1DE"
Sabor by Nieves Barragán,Restaurants,51.5117,-0.1408,"£££ · Spanish. Rated 4.6/5. 35-37 Heddon St, London W1B 4BR"
Colbert Brasserie,Restaurants,51.4925,-0.1567,"£££ · French. Rated 4.4/5. 51 Sloane Square, London SW1W 8AX"
The Ivy Chelsea Garden,Restaurants,51.4863,-0.1699,"£££ · British. Rated 4.4/5. 195-197 King's Rd, London SW3 5EJ"
Medlar,Restaurants,51.4816,-0.1815,"££££ · French British. Rated 4.6/5. 438 King's Rd, London SW10 0LJ"
Chutney Mary,Restaurants,51.5064,-0.1408,"££££ · Indian. Rated 4.5/5. 73 St James's St, London SW1A 1PH"
Amaya,Restaurants,51.5008,-0.1584,"££££ · Indian. Rated 4.6/5. Halkin Arcade, 19 Motcomb St, London SW1X 8JT"
Min Jiang,Restaurants,51.5019,-0.1907,"££££ · Chinese Cantonese. Rated 4.6/5. 22 Kensington High St, London W8 4PT"
The Shed,Restaurants,51.5091,-0.1986,"£££ · British Farm-To-Table. Rated 4.4/5. 122 Palace Gardens Terrace, London W8 4RT"
Clarke's,Restaurants,51.5067,-0.1968,"££££ · British. Rated 4.5/5. 124 Kensington Church St, London W8 4BH"
Geales Notting Hill,Restaurants,51.5099,-0.1978,"£££ · Fish And Chips. Rated 4.4/5. 2 Farmer St, London W8 7SN"
The Cow,Restaurants,51.5178,-0.1965,"£££ · Gastropub Seafood. Rated 4.4/5. 89 Westbourne Park Rd, London W2 5QH"
Hereford Road,Restaurants,51.5137,-0.1957,"£££ · British. Rated 4.5/5. 3 Hereford Rd, London W2 4AB"
